epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2033,1.70743,2.86469,1.71454,0.00302,0.82906,0.03289,0.01121,2.07568,3.14602,2.11284,0.000651163,0.000651163,0.000651163
2,21.7156,1.77489,2.69106,1.75494,0.11626,0.12251,0.05035,0.01359,2.43084,5.33119,2.57429,0.00130478,0.00130478,0.00130478
3,30.6642,1.81051,2.63471,1.77818,0.01986,0.05413,0.00744,0.00189,2.80664,10.4448,2.82385,0.0019452,0.0019452,0.0019452
4,41.7753,1.74954,2.54197,1.743,0.03055,0.05698,0.01223,0.0034,2.76751,11.7631,3.71534,0.0019406,0.0019406,0.0019406
5,50.4002,1.75525,2.54188,1.72862,0.05195,0.18803,0.02692,0.00903,2.28631,3.24264,2.30094,0.0019208,0.0019208,0.0019208
6,58.0835,1.72943,2.48857,1.72662,0.15459,0.21083,0.08905,0.03052,2.26766,2.88346,2.13006,0.001901,0.001901,0.001901
7,68.5464,1.69441,2.45306,1.69978,0.14816,0.21652,0.09108,0.03294,2.09367,2.94309,2.14872,0.0018812,0.0018812,0.0018812
8,78.1016,1.66683,2.38965,1.65724,0.24439,0.33903,0.18337,0.06683,1.81456,2.96387,1.79911,0.0018614,0.0018614,0.0018614
9,87.9879,1.60374,2.35041,1.63052,0.26744,0.22792,0.14537,0.0656,1.82566,3.39215,1.90286,0.0018416,0.0018416,0.0018416
10,97.4947,1.61286,2.3492,1.61901,0.24027,0.3568,0.18834,0.08133,1.79506,2.95033,1.76143,0.0018218,0.0018218,0.0018218
11,109.22,1.63144,2.32873,1.62589,0.12748,0.23077,0.08941,0.03903,2.07932,2.95142,2.10052,0.001802,0.001802,0.001802
12,117.038,1.58292,2.29676,1.61467,0.26292,0.32479,0.19072,0.07553,1.87336,2.42484,1.83337,0.0017822,0.0017822,0.0017822
13,125.538,1.58029,2.29779,1.59959,0.24393,0.32194,0.17992,0.0812,1.73272,2.60212,1.71506,0.0017624,0.0017624,0.0017624
14,133.78,1.55203,2.2574,1.60745,0.22911,0.26781,0.14199,0.05537,1.97128,2.67536,1.95873,0.0017426,0.0017426,0.0017426
15,146.487,1.52007,2.20452,1.57747,0.25457,0.33618,0.17284,0.08182,1.71231,2.44547,1.72003,0.0017228,0.0017228,0.0017228
16,156.175,1.52749,2.24739,1.56043,0.23628,0.19373,0.11276,0.04982,2.30704,2.95352,2.23334,0.001703,0.001703,0.001703
17,165.916,1.50999,2.22858,1.56025,0.27243,0.33618,0.20225,0.09085,1.76064,2.31193,1.76987,0.0016832,0.0016832,0.0016832
18,177.565,1.51175,2.17338,1.56994,0.32111,0.31054,0.21451,0.10052,1.76087,2.41467,1.77426,0.0016634,0.0016634,0.0016634
19,185.905,1.51638,2.1459,1.55979,0.14009,0.19088,0.09496,0.04341,2.24844,3.20495,2.31349,0.0016436,0.0016436,0.0016436
20,194.083,1.50208,2.15859,1.54662,0.30164,0.2792,0.21582,0.1081,1.7488,2.39654,1.74782,0.0016238,0.0016238,0.0016238
21,203.443,1.4672,2.11794,1.53388,0.28731,0.37607,0.24675,0.11652,1.6195,2.27733,1.63942,0.001604,0.001604,0.001604
22,214.718,1.47584,2.11183,1.51816,0.33346,0.37607,0.26797,0.12533,1.64851,2.27789,1.6548,0.0015842,0.0015842,0.0015842
23,224.31,1.42755,2.09338,1.50867,0.29547,0.29915,0.18561,0.08201,1.84132,2.48994,1.84944,0.0015644,0.0015644,0.0015644
24,232.702,1.45971,2.08557,1.53018,0.31725,0.29787,0.20375,0.09097,1.83381,2.4268,1.86116,0.0015446,0.0015446,0.0015446
25,243.183,1.41413,2.0277,1.49933,0.35492,0.40456,0.32399,0.1654,1.57999,2.16173,1.63952,0.0015248,0.0015248,0.0015248
26,251.28,1.42155,2.0671,1.50686,0.30281,0.41311,0.2556,0.12597,1.64286,2.12634,1.61268,0.001505,0.001505,0.001505
27,259.986,1.43552,2.07006,1.49976,0.32531,0.43272,0.29437,0.14589,1.62479,2.07609,1.61425,0.0014852,0.0014852,0.0014852
28,267.329,1.4181,2.00512,1.50353,0.40883,0.39601,0.33175,0.17375,1.55076,2.02801,1.56519,0.0014654,0.0014654,0.0014654
29,277.122,1.42837,2.04963,1.50341,0.3626,0.37892,0.27819,0.13332,1.63257,2.14175,1.62288,0.0014456,0.0014456,0.0014456
30,285.108,1.42329,2.02898,1.48787,0.32816,0.41026,0.29643,0.16498,1.49297,2.08802,1.53437,0.0014258,0.0014258,0.0014258
31,294.111,1.39037,2.02566,1.49471,0.34103,0.36467,0.29593,0.14987,1.61542,2.17029,1.67474,0.001406,0.001406,0.001406
32,302.516,1.39619,1.98451,1.48533,0.31093,0.36467,0.24261,0.11681,1.71616,2.24782,1.73019,0.0013862,0.0013862,0.0013862
33,312.442,1.39947,2.01067,1.48235,0.43614,0.4416,0.36827,0.18687,1.52461,1.98377,1.57978,0.0013664,0.0013664,0.0013664
